HOUR,PRICE
465,298.22
466,298.22
467,298.2
468,298.38
469,298.38
470,298.38
471,301.3
472,301.3
473,301.29
474,301.29
475,301.29
476,303.85
477,301.29
478,303.75
479,305.59
480,306.5
481,307.8
482,308.5
483,307.8
484,299.2
485,299.2
486,299.2
487,303.73
488,303.45
489,307.05
490,307.1
491,307.0
492,305.14
493,305.53
494,306.99
495,307.0
496,307.14
497,307.14
498,307.35
499,308.74
500,312.0
501,312.07
502,312.07
503,307.79
504,315.0
505,315.0
506,320.01
507,320.0
508,314.75
509,314.89
510,314.06
511,314.06
512,314.89
513,314.89
514,314.89
515,317.57
516,328.8
517,329.92
518,329.93
519,333.0
520,330.0
521,333.0
522,343.0
523,343.0
524,332.9
525,333.18
526,332.9
527,317.86
528,327.0
529,330.0
530,325.28
531,325.79
532,329.98
533,334.17
534,330.35
535,321.8
536,323.0
537,323.0
538,330.36
539,336.69
540,333.5
541,333.01
542,334.89
543,327.0
544,325.89
545,332.73
546,332.73
547,332.73
548,332.73
549,327.64
550,327.64
551,327.64
552,327.64
553,327.64
554,317.52
555,322.86
556,315.94
557,315.0
558,314.0
559,310.0
560,316.11
561,315.0
562,315.0
563,319.79
564,319.79
565,319.0
566,315.14
567,319.8
568,322.67
569,322.67
570,322.67
571,322.67
572,319.55
573,321.0
574,321.0
575,321.0
576,321.0
577,321.0
578,320.0
579,316.35
580,314.87
581,314.87
582,319.27
583,321.6
584,327.66
585,329.99
586,330.0
587,329.99
588,326.1
589,326.1
590,328.0
591,330.0
592,332.96
593,332.96
594,332.96
595,332.99
596,332.99
597,335.42
598,338.0
599,340.0
600,341.0
601,336.17
602,336.58
603,336.65
604,336.61
605,342.74
606,350.0
607,355.0
608,362.0
609,363.96
610,363.0
611,363.9
612,365.6
613,369.89
614,375.0
615,377.02
616,380.01
617,370.23
618,370.67
619,374.65
620,374.65
621,374.46
622,375.95
623,390.95
624,394.97
625,392.0
626,394.96
627,399.11
628,415.99
629,420.98
630,398.85
631,399.0
632,397.0
633,402.5
634,404.09
635,408.18
636,421.0
637,424.66
638,439.0
639,449.08
640,442.99
641,433.49
642,443.94
643,441.58
644,443.52
645,459.92
646,477.75
647,493.0
648,496.77
649,492.45
650,483.53
651,475.25
652,472.0
653,461.63
654,465.08
655,468.78
656,420.0
657,394.79
658,415.0
659,411.0
660,429.25
661,429.51
662,441.95
663,414.73
664,394.59
665,390.01
666,388.19
667,375.0
668,374.4
669,392.01
670,405.0
671,401.8
672,400.0
673,395.07
674,389.22
675,399.25
676,398.8
677,405.24
678,413.6
679,404.67
680,411.99
681,395.0
682,388.0
683,376.63
684,384.99
685,363.28
686,367.49
687,355.0
688,360.0
689,360.0
690,388.0
691,372.32
692,372.27
693,370.47
694,372.33
695,380.0
696,375.72
697,373.78
698,387.18
699,397.01
700,395.0
701,395.99
702,366.73
703,376.99
704,375.0
705,379.98
706,376.0
707,381.0
708,376.75
709,379.64
710,374.97
711,382.0
712,382.0
713,385.12
714,381.9
715,385.19
716,384.28
717,390.0
718,385.9
719,385.9
720,391.83
721,388.0
722,383.5
723,383.0
724,382.98
725,389.2
726,385.1
727,385.0
728,385.0
729,388.13
730,387.0
731,383.67
732,383.67
733,389.61
734,389.61
735,387.25
736,387.25
737,387.25
738,377.77
739,377.77
740,386.44
741,386.44
742,386.44
743,386.89
744,386.89
745,386.89
746,386.58
747,386.58
748,384.0
749,381.51
750,381.51
751,383.86
752,370.0
753,377.0
754,369.24
755,369.5
756,365.0
757,368.81
758,369.07
759,368.0
760,368.0
761,367.63
762,367.63
763,370.0
764,371.0
765,371.0
766,386.79
767,385.0
768,379.74
769,383.37
770,384.0
771,377.0
772,372.92
773,377.91
774,382.87
775,380.0
776,379.94
777,383.0
778,377.1
779,370.0
780,370.0
781,376.99
782,377.0
783,377.0
784,379.93
785,378.0
786,379.66
787,378.45
788,377.72
789,377.6
790,374.12
791,374.38
792,376.46
793,355.01
794,351.43
795,358.18
796,352.36
797,353.5
798,354.0
799,346.93
800,331.0
801,344.8
802,336.46
803,335.89
804,327.86
805,311.0
806,311.0
807,314.08
808,309.01
809,314.2
810,311.2
811,322.0
812,323.48
813,326.61
814,326.61
815,326.61
816,323.9
817,314.0
818,307.59
819,307.99
820,308.92
821,309.0
822,309.0
823,312.99
824,310.0
825,306.0
826,310.0
827,314.5
828,317.73
829,317.96
830,320.0
831,320.71
832,324.95
833,330.2
834,332.0
835,333.37
836,344.8
837,343.31
838,329.45
839,334.0
840,325.0
841,326.0
842,326.0
843,331.0
844,331.0
845,328.29
846,328.04
847,328.12
848,329.69
849,335.9
850,340.0
851,340.0
852,340.0
853,340.0
854,337.87
855,337.91
856,340.0
857,338.04
858,334.97
859,329.0
860,331.04
861,329.12
862,327.14
863,348.0
864,330.14
865,330.14
866,331.0
867,330.05
868,331.0
869,333.0
870,333.0
871,333.0
